EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	22:57:15	0	0.1000	11.353003725138578	8.350046157836914	0.5305	0.5318	0.5312
2	22:57:40	0	0.1000	5.606176086772572	3.6717288494110107	0.7462	0.6973	0.7209
3	22:58:05	0	0.1000	4.395018853274259	3.112675189971924	0.7898	0.7279	0.7576
4	22:58:31	0	0.1000	3.85033070824363	2.752936601638794	0.8031	0.7547	0.7781
5	22:58:55	0	0.1000	3.4662438158555466	2.6070942878723145	0.8351	0.7724	0.8025
6	22:59:20	0	0.1000	3.2504312016747217	2.447624683380127	0.8211	0.7901	0.8053
7	22:59:45	0	0.1000	3.089949318712408	2.2388458251953125	0.8351	0.8116	0.8232
8	23:00:10	0	0.1000	2.9241726220737805	2.2438907623291016	0.8457	0.8097	0.8273
9	23:00:35	0	0.1000	2.8012696834044024	2.0877411365509033	0.8424	0.8259	0.8341
10	23:00:59	0	0.1000	2.7407667948982932	2.0780882835388184	0.8522	0.8355	0.8438
11	23:01:23	0	0.1000	2.6517162453044545	2.027496814727783	0.8585	0.8360	0.8471
12	23:01:48	0	0.1000	2.563871955871582	1.8975800275802612	0.8640	0.8384	0.8510
13	23:02:13	0	0.1000	2.5181815949353306	1.8896929025650024	0.8613	0.8465	0.8538
14	23:02:37	0	0.1000	2.402941749312661	1.883002758026123	0.8670	0.8508	0.8588
15	23:03:03	0	0.1000	2.424770886247808	1.8897616863250732	0.8700	0.8484	0.8591
16	23:03:27	1	0.1000	2.3699678386341443	1.8667683601379395	0.8601	0.8412	0.8506
17	23:03:50	0	0.1000	2.293922343037345	1.7645069360733032	0.8646	0.8551	0.8598
18	23:04:15	1	0.1000	2.2656713169271296	1.8393474817276	0.8655	0.8527	0.8591
19	23:04:37	2	0.1000	2.244120608243075	1.7648714780807495	0.8593	0.8532	0.8563
20	23:04:59	0	0.1000	2.2020806496793575	1.78157377243042	0.8646	0.8580	0.8613
21	23:05:23	0	0.1000	2.1695856055346403	1.7588436603546143	0.8730	0.8551	0.8640
22	23:05:49	1	0.1000	2.142328211177479	1.7639039754867554	0.8686	0.8503	0.8594
23	23:06:10	2	0.1000	2.106565138426694	1.7452330589294434	0.8698	0.8565	0.8631
24	23:06:32	3	0.1000	2.0913497630032625	1.778531551361084	0.8740	0.8522	0.8630
25	23:06:55	4	0.1000	2.0822944909876044	1.763561725616455	0.8671	0.8608	0.8639
26	23:07:17	0	0.0500	1.9662838346307927	1.6823792457580566	0.8745	0.8632	0.8688
27	23:07:41	1	0.0500	1.947908923409202	1.6573522090911865	0.8751	0.8608	0.8679
28	23:08:04	2	0.0500	1.9091585298018021	1.6564821004867554	0.8624	0.8604	0.8614
29	23:08:25	3	0.0500	1.905959284955805	1.6109166145324707	0.8733	0.8637	0.8685
30	23:08:47	0	0.0500	1.8815680579705671	1.6081266403198242	0.8726	0.8651	0.8689
31	23:09:12	0	0.0500	1.8687103431875056	1.626693606376648	0.8772	0.8642	0.8706
32	23:09:38	0	0.0500	1.8545716008273039	1.5893868207931519	0.8809	0.8704	0.8756
33	23:10:02	1	0.0500	1.8478679331866177	1.6187775135040283	0.8778	0.8661	0.8719
34	23:10:25	2	0.0500	1.8204169600660152	1.6264700889587402	0.8777	0.8651	0.8714
35	23:10:47	3	0.0500	1.8264753614772449	1.6179977655410767	0.8777	0.8647	0.8711
36	23:11:09	4	0.0500	1.8012103020061145	1.6392091512680054	0.8743	0.8613	0.8677
37	23:11:31	1	0.0250	1.7494290572946722	1.6004177331924438	0.8749	0.8627	0.8688
38	23:11:53	2	0.0250	1.7444929762320085	1.5906106233596802	0.8752	0.8656	0.8704
39	23:12:15	3	0.0250	1.7455538509108803	1.5771229267120361	0.8769	0.8656	0.8712
40	23:12:37	4	0.0250	1.7246678699146618	1.5926176309585571	0.8804	0.8661	0.8732
41	23:12:59	1	0.0125	1.7005149544369091	1.5777183771133423	0.8775	0.8666	0.8720
42	23:13:21	2	0.0125	1.715477705001831	1.5826704502105713	0.8769	0.8651	0.8710
43	23:13:43	3	0.0125	1.696341562054374	1.5750762224197388	0.8786	0.8651	0.8718
44	23:14:05	4	0.0125	1.713000814481215	1.5686516761779785	0.8786	0.8656	0.8721
45	23:14:27	1	0.0063	1.7005727770111778	1.574697494506836	0.8803	0.8651	0.8726
46	23:14:49	2	0.0063	1.7050191866267812	1.5830564498901367	0.8787	0.8661	0.8724
47	23:15:12	3	0.0063	1.6906269925290889	1.580507516860962	0.8797	0.8670	0.8733
48	23:15:34	4	0.0063	1.6852692918343977	1.5702424049377441	0.8780	0.8670	0.8725
49	23:15:56	1	0.0031	1.6759578297354958	1.5702348947525024	0.8788	0.8670	0.8729
50	23:16:18	2	0.0031	1.6701606319167397	1.570762038230896	0.8782	0.8656	0.8719
51	23:16:40	3	0.0031	1.6661846163056113	1.5574268102645874	0.8784	0.8670	0.8727
52	23:17:02	4	0.0031	1.6652375477010553	1.5667614936828613	0.8784	0.8670	0.8727
53	23:17:24	1	0.0016	1.6593542935631491	1.5666916370391846	0.8783	0.8666	0.8724
54	23:17:47	2	0.0016	1.6813067189129915	1.5644174814224243	0.8788	0.8670	0.8729
55	23:18:09	3	0.0016	1.6862798725474963	1.5638247728347778	0.8780	0.8670	0.8725
56	23:18:31	4	0.0016	1.6646443624929947	1.5668715238571167	0.8780	0.8675	0.8727
