EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	20:32:50	0	0.1000	24.51417723785747	11.056137084960938	0.5010	0.4254	0.4601
2	20:33:16	0	0.1000	11.196989737857471	6.994250297546387	0.6176	0.5318	0.5715
3	20:33:42	1	0.1000	8.512778563932939	6.255899429321289	0.6022	0.5344	0.5663
4	20:34:05	0	0.1000	7.499400112845681	5.731180191040039	0.6378	0.5843	0.6099
5	20:34:31	0	0.1000	6.860959033532576	4.86782169342041	0.6679	0.6231	0.6447
6	20:34:57	0	0.1000	6.439304273778742	4.831173419952393	0.6670	0.6390	0.6527
7	20:35:23	0	0.1000	6.11960089748556	4.531966686248779	0.6969	0.6350	0.6645
8	20:35:49	1	0.1000	5.871568653800271	4.474660396575928	0.6679	0.6461	0.6568
9	20:36:13	2	0.1000	5.610373965176669	4.210536956787109	0.6792	0.6399	0.6589
10	20:36:37	0	0.1000	5.539740232987837	4.048767566680908	0.6931	0.6509	0.6714
11	20:37:02	0	0.1000	5.352048115296797	3.975076913833618	0.6864	0.6598	0.6728
12	20:37:29	1	0.1000	5.2790012316270305	4.236865997314453	0.6815	0.6487	0.6647
13	20:37:52	0	0.1000	5.155916784026406	3.994971752166748	0.6984	0.6796	0.6889
14	20:38:18	1	0.1000	5.053621331128207	3.789268732070923	0.7042	0.6712	0.6873
15	20:38:41	2	0.1000	5.024665551835841	3.8494579792022705	0.6963	0.6668	0.6812
16	20:39:04	3	0.1000	4.91898378350518	3.8864622116088867	0.6961	0.6743	0.6850
17	20:39:28	4	0.1000	4.8466531991958615	3.9349114894866943	0.6945	0.6681	0.6811
18	20:39:51	0	0.0500	4.563992150263353	3.640432357788086	0.7033	0.6862	0.6947
19	20:40:17	0	0.0500	4.475215957381509	3.753237009048462	0.7157	0.6787	0.6967
20	20:40:42	0	0.0500	4.434929569201036	3.5540337562561035	0.7111	0.6995	0.7052
21	20:41:08	1	0.0500	4.394053922999989	3.592362403869629	0.7038	0.6858	0.6947
22	20:41:32	0	0.0500	4.342332496426322	3.474743604660034	0.7221	0.6951	0.7083
23	20:41:58	1	0.0500	4.316195214878429	3.4817867279052734	0.7109	0.6814	0.6958
24	20:42:22	0	0.0500	4.3328267921100965	3.464876890182495	0.7245	0.7008	0.7124
25	20:42:48	1	0.0500	4.292567738619717	3.5183303356170654	0.7052	0.6884	0.6967
